"Fecha","Hora","Demanda (MW)","Generación (MW)","Pronóstico (MW)"
"2020/01/01","0","3894.42","7906.42","0.00"
"2020/01/01","1","3908.33","7844.00","4059.92"
"2020/01/01","2","3921.50","7756.58","4290.58"
"2020/01/01","3","3856.42","7612.50","4182.67"
"2020/01/01","4","3811.83","7276.67","4100.67"
"2020/01/01","5","3742.92","6953.42","4049.08"
"2020/01/01","6","3780.83","6669.58","4000.08"
"2020/01/01","7","3803.83","6443.17","4379.00"
"2020/01/01","8","3706.92","6479.42","4372.58"
"2020/01/01","9","3785.42","6470.08","4209.75"
"2020/01/01","10","3904.83","6477.08","4251.00"
"2020/01/01","11","4003.92","6833.08","4317.00"
"2020/01/01","12","4097.33","7325.00","4351.00"
"2020/01/01","13","4064.50","7438.42","4347.00"
"2020/01/01","14","4123.58","7680.25","4294.00"
"2020/01/01","15","4171.83","7829.08","4278.42"
"2020/01/01","16","4250.58","7815.08","4208.00"
"2020/01/01","17","4264.91","8260.55","4211.00"
"2020/01/01","18","4470.17","9454.67","4286.17"
"2020/01/01","19","4599.92","9875.00","4417.67"
"2020/01/01","20","4591.17","9876.50","4379.50"
"2020/01/01","21","4577.67","9593.42","4209.08"
"2020/01/01","22","4420.67","9234.50","4063.83"
"2020/01/01","23","4372.50","8947.42","3976.83"
"2020/01/02","0","4176.92","8435.75","0.00"
"2020/01/02","1","4090.67","8023.75","3801.00"
"2020/01/02","2","4070.25","7873.08","3735.92"
"2020/01/02","3","3968.25","7851.67","3648.42"
"2020/01/02","4","4002.08","8035.17","3568.58"
"2020/01/02","5","4066.42","8239.17","3505.17"
"2020/01/02","6","4341.75","8525.42","3449.00"
"2020/01/02","7","4568.75","9166.00","3419.00"
"2020/01/02","8","4844.92","9379.00","3319.00"
"2020/01/02","9","4980.92","9332.17","3286.00"
"2020/01/02","10","5054.17","9483.50","3333.42"
"2020/01/02","11","5186.58","9845.42","3400.00"
"2020/01/02","12","5360.25","9873.33","3499.00"
"2020/01/02","13","5435.58","9692.17","3545.00"
"2020/01/02","14","5519.58","9598.58","3572.00"
"2020/01/02","15","5440.50","9649.75","3567.00"
"2020/01/02","16","5447.50","10121.25","3570.00"
"2020/01/02","17","5401.08","10851.42","3603.00"
"2020/01/02","18","5401.50","10931.33","3705.00"
"2020/01/02","19","5448.08","10918.92","4101.00"
"2020/01/02","20","5463.67","10755.00","4285.00"
"2020/01/02","21","5390.36","10700.00","4352.00"
"2020/01/02","22","5340.17","10357.25","4330.00"
"2020/01/02","23","5350.33","10358.58","4254.67"
"2020/01/03","0","5151.42","10213.33","354.00"
"2020/01/03","1","4914.83","10099.33","3676.75"
"2020/01/03","2","4902.17","9904.75","3884.50"
"2020/01/03","3","4793.83","9703.58","3800.58"
"2020/01/03","4","4811.33","9927.92","3780.25"
"2020/01/03","5","4826.00","10094.67","3818.42"
"2020/01/03","6","4896.67","10313.75","3934.75"
"2020/01/03","7","5111.58","10335.00","4176.92"
