Fecha,Hora,Demanda,Generación,Pronóstico,PML
09/03/2020,0,4902.58,9136.75,433.33,335.41
09/03/2020,1,4845.75,8579,3948.33,282.7
09/03/2020,2,4654.25,8318.33,4583.08,262.42
09/03/2020,3,4719.92,8045.5,4441.58,239.82
09/03/2020,4,4758.75,7964.25,4358.5,260.37
09/03/2020,5,4876.67,8381.5,4324.5,271.51
09/03/2020,6,5196.92,9413.92,4315.58,294.24
09/03/2020,7,5381.42,9905.67,4314.08,311.34
09/03/2020,8,5827.33,10154.58,4292.92,329.9
09/03/2020,9,6001.42,10603.5,4375.33,325.89
09/03/2020,10,6037.75,11364.83,4479.25,329.87
09/03/2020,11,6162.09,11564.09,4564.36,335.54
09/03/2020,12,6183.67,11414.58,4624.25,320
09/03/2020,13,6299.5,11404.58,4652.83,339.3
09/03/2020,14,6247.17,11595.67,4677.92,325.26
09/03/2020,15,6209.17,11559.33,4701.67,347.25
09/03/2020,16,6192.08,11774.42,4723.42,325.84
09/03/2020,17,6194.25,11892.08,4743.33,354.69
09/03/2020,18,6123.75,11865.83,4796.33,359.29
09/03/2020,19,6200.5,11730.42,4946.75,364.39
09/03/2020,20,6182,11586.25,5261.58,460.9
09/03/2020,21,5970,11613.83,5344,393.83
09/03/2020,22,5911.08,11698.33,5271.08,379.1
09/03/2020,23,5829.67,11425.42,5100.83,350.69
10/03/2020,0,5649.42,10816.08,423.83,311.64
10/03/2020,1,5512.58,10116.92,4402.75,317.05
10/03/2020,2,5439.42,9402.17,4706.75,306.73
10/03/2020,3,5366.33,9269,4631.08,301.66
10/03/2020,4,5487.83,9281.5,4596.58,306.76
10/03/2020,5,5579,9597.08,4631.58,312.8
10/03/2020,6,5851.08,10846.33,4735,361.41
10/03/2020,7,5920.83,11028.33,5060.25,474.13
10/03/2020,8,6028.58,11216.92,5339.17,476.9
10/03/2020,9,6239.67,11143.17,5568.25,457.5
10/03/2020,10,6344.58,10907.08,5726.33,353.96
10/03/2020,11,6371.25,10891.17,5861.83,353.43
10/03/2020,12,6472.67,11107.25,5963.75,446.15
10/03/2020,13,6487.42,11041.25,6059.08,360.35
10/03/2020,14,6475.58,11111.75,6142.17,469.46
10/03/2020,15,6484.33,11516.25,6182,461.41
10/03/2020,16,6487.92,11915.5,6208.83,511.94
10/03/2020,17,6338.33,12101.42,6219.25,463.99
10/03/2020,18,6182.33,11998.33,6153.33,351.69
10/03/2020,19,6319.17,12149.42,6068.5,353.1
10/03/2020,20,6223.92,12152,6083.08,354.06
10/03/2020,21,6165.92,11913.83,6020.83,352.49
10/03/2020,22,6040.42,11749.08,5924.25,357.58
10/03/2020,23,5912.92,11603,5818.83,359.65
11/03/2020,0,5746.58,11419.67,484.17,290.35
11/03/2020,1,5614.75,10767.83,5161.75,286.47
11/03/2020,2,5489,9791.83,5459.58,290.76
11/03/2020,3,5418.58,9624.17,5326.67,297.7
11/03/2020,4,5509.42,9835.83,5274.75,305.81
11/03/2020,5,5469.42,10284.42,5271.92,297.7
11/03/2020,6,5740.33,10915.75,5361.83,351.52
11/03/2020,7,5994.75,11228.67,5508.42,425.44
11/03/2020,8,6182.92,10739.75,5691.5,361.87
11/03/2020,9,6347.75,10765.5,5856.42,360.28
11/03/2020,10,6402.25,11216.58,5991,359.32
11/03/2020,11,6519.58,11191.25,6097.33,380.82
11/03/2020,12,6602.83,11217.67,6194.92,387.67
11/03/2020,13,6684.92,11135.17,6297.42,384.71
11/03/2020,14,6741,11320.17,6374.75,382.25
11/03/2020,15,6796.17,11676.58,6424.08,377.74
11/03/2020,16,6875.25,11956,6456.42,461.82
11/03/2020,17,6701.33,12072.08,6464.5,335.08
11/03/2020,18,6486.58,12270.17,6424.67,359.36
11/03/2020,19,6603.17,12587.83,6330.25,325.06
11/03/2020,20,6569.33,12381.25,6359.58,337.02
11/03/2020,21,6534.67,12568.67,6311.67,328.25
11/03/2020,22,6366.58,12289.5,6208.92,321.99
11/03/2020,23,6359.58,12106,6097.33,315.1
12/03/2020,0,6030.08,11812.08,507.33,317.21
12/03/2020,1,5905.42,11278.58,5168.17,315.54
12/03/2020,2,5765.08,10769.83,5468.42,311.69
12/03/2020,3,5746.42,10454.67,5340.25,314.64
12/03/2020,4,5686,10167.33,5301.58,320.7
12/03/2020,5,5789.08,10458.08,5317.33,324.99
12/03/2020,6,5993.25,11372,5387.75,333.76
12/03/2020,7,6034.83,11336.67,5558.08,356.17
12/03/2020,8,6273.83,11048.58,5692.17,451.86
12/03/2020,9,6334.92,11195.33,5843.25,485.27
12/03/2020,10,6467.33,11686.67,5975.17,373.6
12/03/2020,11,6578.33,11787.58,6084.08,372.11
12/03/2020,12,6681.83,12007.5,6198.42,377.52
12/03/2020,13,6850.83,12161.17,6285.92,398.81
12/03/2020,14,6921.5,12170.17,6381.92,407.86
12/03/2020,15,7008.75,12379.33,6445.92,482.94
12/03/2020,16,6960.17,12521.25,6491.33,449.2
12/03/2020,17,6872.42,12583.58,6528.92,400.82
12/03/2020,18,6592.5,12598.5,6461.42,393.54
12/03/2020,19,6668.42,12493.25,6332.17,387.39
12/03/2020,20,6474.08,12215.17,6386.08,388.27
12/03/2020,21,6391.67,12073.5,6318.67,369.25
12/03/2020,22,6397.42,12005,6242.33,393.7
12/03/2020,23,6434.92,12001.92,6146.17,363.06
13/03/2020,0,6296.82,11773.45,558,387.04
13/03/2020,1,6050,11559.58,5369.83,360.33
13/03/2020,2,5887.33,11445.92,5688.83,351.89
13/03/2020,3,5807.67,11165.58,5529.42,339.65
13/03/2020,4,5710.5,11038,5464.83,338.84
13/03/2020,5,5830.5,11049.92,5468.25,341.59
13/03/2020,6,6003.83,11220.17,5544.17,351.08
13/03/2020,7,6095.67,11214.92,5711.42,364.22
13/03/2020,8,6398.75,11123.08,5884.58,363.15
13/03/2020,9,6680.58,11321.5,6050.25,387.57
13/03/2020,10,6783.08,11689.83,6150.92,342.68
13/03/2020,11,6904.67,11786.17,6332.17,368.74
