"Fecha","Hora","PML / MDA","ENE / MDA","CON / MDA","PER / MDA","PML / MTR","ENE / MTR","CON / MTR","PER / MTR"
"2020/03/27","1","469.9100","479.9700","40.3300","-50.3900","ND","ND","ND","ND"
"2020/03/27","2","441.0900","486.0700","9.5900","-54.5700","ND","ND","ND","ND"
"2020/03/27","3","420.7800","471.0000","6.6000","-56.8200","ND","ND","ND","ND"
"2020/03/27","4","434.6300","488.5100","4.5500","-58.4400","ND","ND","ND","ND"
"2020/03/27","5","422.0100","484.3100","-3.3000","-59.0100","ND","ND","ND","ND"
"2020/03/27","6","434.2200","473.2800","17.4100","-56.4600","ND","ND","ND","ND"
"2020/03/27","7","543.7200","618.8500","-5.2500","-69.8900","ND","ND","ND","ND"
"2020/03/27","8","546.6500","625.4400","-4.4900","-74.3000","ND","ND","ND","ND"
"2020/03/27","9","402.9700","450.2800","14.5300","-61.8400","ND","ND","ND","ND"
"2020/03/27","10","370.3200","447.6500","-15.7100","-61.6200","ND","ND","ND","ND"
"2020/03/27","11","375.0700","456.9500","-20.6200","-61.2600","ND","ND","ND","ND"
"2020/03/27","12","379.0200","447.6200","-11.0700","-57.5400","ND","ND","ND","ND"
"2020/03/27","13","394.9500","468.0500","-17.4300","-55.6700","ND","ND","ND","ND"
"2020/03/27","14","503.5300","599.6500","-25.9300","-70.1900","ND","ND","ND","ND"
"2020/03/27","15","568.9800","599.6200","34.7300","-65.3700","ND","ND","ND","ND"
"2020/03/27","16","471.5800","478.0100","43.2600","-49.6900","ND","ND","ND","ND"
"2020/03/27","17","637.6800","681.2000","21.0900","-64.6100","ND","ND","ND","ND"
"2020/03/27","18","635.7200","696.9200","6.6200","-67.8200","ND","ND","ND","ND"
"2020/03/27","19","627.6300","674.8500","15.8900","-63.1100","ND","ND","ND","ND"
"2020/03/27","20","630.8600","674.2900","17.7600","-61.2000","ND","ND","ND","ND"
"2020/03/27","21","500.8000","491.4200","53.3800","-44.0100","ND","ND","ND","ND"
"2020/03/27","22","498.2800","491.0900","50.0500","-42.8600","ND","ND","ND","ND"
"2020/03/27","23","609.3500","666.4200","1.6500","-58.7200","ND","ND","ND","ND"
"2020/03/27","24","500.9100","489.5500","54.7500","-43.4000","ND","ND","ND","ND"
"2020/03/26","1","423.4900","484.5100","-9.6500","-51.3600","ND","ND","ND","ND"
"2020/03/26","2","420.6200","475.5400","-3.9200","-51.0000","ND","ND","ND","ND"
"2020/03/26","3","397.5400","456.0100","-7.9200","-50.5500","ND","ND","ND","ND"
"2020/03/26","4","402.0500","463.4600","-8.1500","-53.2500","ND","ND","ND","ND"
